year,pred64,pred85,pred105,pred125,temperature
2110,1.054562931,0.763954994,0.639633622,0.569517342,2.338348815
2111,1.071373275,0.773524684,0.646471699,0.574936789,2.212475907
2112,1.088448344,0.783207623,0.653375212,0.580399766,2.211233975
2113,1.105792306,0.793005151,0.660344787,0.585906622,2.302246899
2114,1.123409395,0.802918626,0.667381056,0.591457709,2.299648566
2115,1.141303914,0.812949418,0.674484657,0.597053384,2.24480304
2116,1.15948023,0.823098916,0.681656234,0.602694003,2.232365897
2117,1.177942781,0.833368526,0.688896439,0.608379928,2.430342181
2118,1.196696075,0.843759668,0.696205927,0.614111523,2.373044321
2119,1.215744691,0.85427378,0.703585362,0.619889155,2.327393794
2120,1.235093279,0.864912319,0.711035413,0.625713193,2.370550393
2121,1.254746562,0.875676756,0.718556756,0.63158401,2.090515407
2122,1.27470934,0.886568581,0.726150073,0.637501982,2.310010209
2123,1.294986486,0.897589302,0.733816053,0.643467488,2.338055147
2124,1.31558295,0.908740444,0.741555391,0.64948091,2.58457094
2125,1.336503762,0.920023551,0.749368789,0.655542631,2.416743947
2126,1.357754028,0.931440184,0.757256955,0.661653041,2.406058651
2127,1.379338937,0.942991924,0.765220606,0.66781253,2.560931035
2128,1.40126376,0.954680369,0.773260464,0.674021493,2.528715442
2129,1.423533848,0.966507138,0.781377257,0.680280327,2.507653209
2130,1.446154638,0.978473866,0.789571723,0.686589432,2.757586204
2131,1.469131655,0.990582211,0.797844604,0.692949212,2.735856748
2132,1.492470506,1.002833848,0.80619665,0.699360075,2.62166248
2133,1.516176892,1.015230474,0.81462862,0.70582243,2.524270079
2134,1.540256598,1.027773803,0.823141278,0.712336692,2.599418234
2135,1.564715505,1.040465572,0.831735396,0.718903277,2.544359364
2136,1.589559583,1.053307538,0.840411754,0.725522605,2.407656196
2137,1.614794899,1.066301479,0.849171139,0.7321951,2.611746527
2138,1.640427613,1.079449192,0.858014345,0.738921189,2.609372472
2139,1.666463984,1.092752497,0.866942174,0.745701302,2.681774442
2140,1.692910367,1.106213236,0.875955436,0.752535874,2.72385049
2141,1.719773221,1.119833272,0.885054949,0.759425342,2.796339575
2142,1.747059103,1.13361449,0.894241538,0.766370147,2.621290949
